First Name,Last Name,Job Title,Office Phone,Employee ID,Email Address,Description,Organizational Unit,AddToGroups(csv),Enabled,Password
Paul,Hill,CEO,123-537-8775,558739,phill@abc.com,User created by PowerShell automated script,"OU=ITUsers,OU=ITDept,DC=abc,DC=com","Domain Admins, Enterprise Admins, Schema Admins",TRUE,P@$$w0rd
Dani,Darville,Office Administration,123-537-8776,558741,Dani.Darville@abc.com,User created by PowerShell automated script,"OU=ITUsers,OU=ITDept,DC=abc,DC=com",,TRUE,P@$$w0rd
Dottie,Woolley,Graphics Designer,123-537-8777,558743,Dottie.Woolley@abc.com,User created by PowerShell automated script,"OU=ITUsers,OU=ITDept,DC=abc,DC=com",,TRUE,P@$$w0rd
Barry,Audet,Marketing Specialist,123-537-8778,558745,Barry.Audet@abc.com,User created by PowerShell automated script,"OU=HRUsers,OU=HRDept,DC=abc,DC=com",,FALSE,P@$$w0rd
Lynetta,Easterwood,Marketing Specialist,123-537-8779,558747,Lynetta.Easterwood@abc.com,User created by PowerShell automated script,"OU=ITUsers,OU=ITDept,DC=abc,DC=com",,TRUE,P@$$w0rd
Jung,Cano,Sys Admin,123-537-8780,558749,Jung.Cano@abc.com,User created by PowerShell automated script,"OU=ITUsers,OU=ITDept,DC=abc,DC=com",DNS Admins,TRUE,P@$$w0rd
Cynthia,Manganaro,Graphics Designer,123-537-8781,558751,Cynthia.Manganaro@abc.com,User created by PowerShell automated script,"OU=ITUsers,OU=ITDept,DC=abc,DC=com",,FALSE,P@$$w0rd
Chet,Bickers,Sys Admin,123-537-8782,558753,Chet.Bickers@abc.com,User created by PowerShell automated script,"OU=ITUsers,OU=ITDept,DC=abc,DC=com",DNS Admins,FALSE,P@$$w0rd
Nereida,Hoyle,Office Administration,123-537-8783,558755,Nereida.Hoyle@abc.com,User created by PowerShell automated script,"OU=HRUsers,OU=HRDept,DC=abc,DC=com",,TRUE,P@$$w0rd
Eleanor,Youngren,Physical Security,123-537-8784,558757,Eleanor.Youngren@abc.com,User created by PowerShell automated script,"OU=HRUsers,OU=HRDept,DC=abc,DC=com",,FALSE,P@$$w0rd
